focus_word,corpus,rank,neighbor,cosine,gender_score
간호사,social_media,4,간호사가,0.552,-0.064
간호사,social_media,5,병동간호사,0.548,-0.03
간호사,social_media,6,간호학생,0.545,-0.083
간호사,entertainment,1,손빈,0.969,0.006
간호사,entertainment,2,주사,0.963,-0.004
간호사,entertainment,3,이동휘,0.962,-0.01
간호사,entertainment,4,구속,0.961,-0.004
간호사,entertainment,5,마비,0.96,-0.011
간호사,entertainment,6,33,0.959,0.004
간호사,sports,0,OOV,,
간호사,crime,1,시나위,0.867,0.05
간호사,crime,2,육군,0.863,0.034
간호사,crime,3,부사관,0.862,0.042
간호사,crime,4,밴드,0.858,0.051
간호사,crime,5,보컬,0.855,0.043
간호사,crime,6,55,0.851,0.034
간호사,politics,0,OOV,,
간호사,news,1,강요,0.998,0.005
간호사,news,2,비밀,0.998,0.004
간호사,news,3,유골,0.998,0.005
간호사,news,4,정원,0.998,0.005
간호사,news,5,왕자,0.998,0.005
간호사,news,6,입지,0.998,0.005
간호사,encyclopedic,1,다가,0.509,-0.005
간호사,encyclopedic,2,공제회,0.506,0.02
간호사,encyclopedic,3,겸비,0.494,0.112
간호사,encyclopedic,4,유명세,0.491,0.099
간호사,encyclopedic,5,계단,0.489,0.102
간호사,encyclopedic,6,우대신,0.485,0.084
여배우,social_media,1,여배우였던,0.572,-0.06
여배우,social_media,2,여배우이자,0.535,-0.05
여배우,social_media,3,여배우로,0.533,-0.069
여배우,social_media,4,조연배우,0.525,-0.037
여배우,social_media,5,여배우는,0.523,-0.075
여배우,social_media,6,AV배우,0.519,-0.074
여배우,entertainment,1,샤를,0.968,-0.019
여배우,entertainment,2,스파이,0.968,-0.017
여배우,entertainment,3,베테,0.963,-0.014
여배우,entertainment,4,경력,0.963,-0.021
여배우,entertainment,5,무당,0.96,-0.017
여배우,entertainment,6,차남,0.959,-0.029
여배우,sports,0,OOV,,
여배우,crime,1,뮤직비디오,0.938,-0.024
여배우,crime,2,밀란,0.936,-0.01
여배우,crime,3,결정사,0.935,-0.016
여배우,crime,4,지나가,0.931,0.003
여배우,crime,5,드려야,0.93,-0.014
여배우,crime,6,제발,0.929,-0.008
여배우,politics,0,OOV,,
여배우,news,1,독재자,0.985,-0.001
여배우,news,2,표현,0.985,-0.001
여배우,news,3,종교,0.985,0.002
여배우,news,4,비공개,0.985,0.001
여배우,news,5,기강,0.985,0.002
여배우,news,6,규정,0.985,-0.0
여배우,encyclopedic,1,양자리,0.73,-0.008
여배우,encyclopedic,2,입안,0.701,-0.004
여배우,encyclopedic,3,가신,0.679,-0.025
여배우,encyclopedic,4,삼각,0.665,-0.037
여배우,encyclopedic,5,조립,0.664,-0.034
여배우,encyclopedic,6,쵸,0.663,0.008
아나운서,social_media,1,홍소연,0.672,-0.023
아나운서,social_media,2,아나운서1부,0.641,-0.037
아나운서,social_media,3,아나운서팀,0.637,-0.04
아나운서,social_media,4,국혜정,0.631,-0.038
아나운서,social_media,5,아나운서도,0.627,-0.042
아나운서,social_media,6,가애란,0.626,-0.038
아나운서,entertainment,1,재이가,0.935,-0.03
아나운서,entertainment,2,허유,0.929,-0.05
아나운서,entertainment,3,김지영,0.928,-0.056
아나운서,entertainment,4,배성재,0.927,-0.032
아나운서,entertainment,5,김다영,0.918,-0.022
아나운서,entertainment,6,곽준,0.913,-0.048
아나운서,sports,1,배지현,0.928,-0.006
아나운서,sports,2,김희연,0.922,0.016
아나운서,sports,3,치킨,0.921,0.016
아나운서,sports,4,엔터테인먼트,0.919,-0.013
아나운서,sports,5,페이커,0.909,0.022
아나운서,sports,6,코퍼레이션,0.905,-0.006
아나운서,crime,1,17:30,0.973,-0.001
아나운서,crime,2,18:00,0.967,0.005
아나운서,crime,3,19:30,0.959,-0.001
아나운서,crime,4,98.1,0.953,0.002
아나운서,crime,5,07:10,0.953,0.008
아나운서,crime,6,09:00,0.949,-0.006
아나운서,politics,1,함진규,0.866,-0.094
아나운서,politics,2,이성배,0.837,-0.095
아나운서,politics,3,대담,0.805,0.01
아나운서,politics,4,영희,0.798,-0.03
아나운서,politics,5,김철민,0.786,-0.158
아나운서,politics,6,19:30,0.782,-0.03
아나운서,news,1,배출,0.997,0.004
아나운서,news,2,갖춘,0.997,0.005
아나운서,news,3,경력,0.997,0.004
아나운서,news,4,윤곽,0.997,0.004
아나운서,news,5,회수,0.997,0.003
아나운서,news,6,찾기,0.997,0.004
아나운서,encyclopedic,1,선산군,0.502,-0.075
아나운서,encyclopedic,2,감성,0.488,-0.031
아나운서,encyclopedic,3,망가,0.48,-0.105
아나운서,encyclopedic,4,테티스,0.477,-0.051
아나운서,encyclopedic,5,식민지,0.47,-0.119
아나운서,encyclopedic,6,돈녕,0.457,-0.061
